Product_Name,Category,Estimated_Revenue_in_2025_USD,Estimated_Total_Units_Sold_in_2025,Trend_Score,Company
Wireless Earbuds,Electronics,50000,1200,8.5,Sony
Smart Watch,Electronics,70000,1500,9.2,Apple
Bluetooth Speaker,Electronics,45000,1000,8.0,JBL
Gaming Mouse,Electronics,30000,900,7.5,Logitech
Laptop Stand,Electronics,25000,800,7.2,Dell
Office Chair,Furniture,30000,850,7.8,Ikea
Wooden Desk,Furniture,40000,700,8.3,Ikea
Dining Table,Furniture,35000,600,7.9,Home Centre
Sofa Set,Furniture,60000,500,8.7,Urban Ladder
Bed Frame,Furniture,45000,550,8.1,Pepperfry
Yoga Mat,Fitness,20000,1300,7.0,Nike
Dumbbells,Fitness,28000,900,7.6,Decathlon
Treadmill,Fitness,75000,300,9.0,ProForm
Protein Powder,Fitness,50000,1100,8.4,MuscleBlaze
Fitness Band,Fitness,42000,1200,8.2,Fitbit
Smartphone,Electronics,90000,2000,9.5,Samsung
Tablet,Electronics,55000,1400,8.6,Apple
LED Monitor,Electronics,48000,950,8.1,LG
Air Purifier,Electronics,52000,700,8.3,Philips
Coffee Table,Furniture,22000,650,7.3,Ikea
